TOKEN	NER	de_core_news_sm--03-26-06-08-38	/content/drive/MyDrive/NLP_Project_New/models/sermons_60it--03-26-06-15-17	dbmdz/bert-base-german-cased--03-26-06-43-39	/content/drive/MyDrive/NLP_Project_New/models/bert_base_german_cased_finetuned_3ep--03-26-07-51-24	dbmdz/flair-historic-ner-onb--03-26-08-44-50	dbmdz/flair-historic-ner-onb_finetuned_3ep_2e-5--03-26-09-37-54
in	O	O	O	O	O	O	O
die	O	O	O	O	O	O	O
Archen	O	O	O	O	O	O	O
si	O	O	O	O	O	O	O
nihil	O	B-PER	O	O	O	O	O
attuleris	O	I-PER	O	O	O	O	O
,	O	O	O	O	O	O	O
ibis	O	O	O	O	O	O	O
Gerd	B-PER	B-PER	O	O	B-PER	O	O
foras	O	I-PER	O	O	O	O	O
:	O	O	O	O	O	O	O
							
Ein	O	O	O	B-LOC	O	O	O
anders	O	O	O	O	O	O	O
aber	O	O	O	O	O	O	O
werden	O	O	O	B-PER	O	O	O
wir	O	O	O	O	O	O	O
über	O	O	O	B-LOC	O	O	O
die	O	O	O	O	O	O	O
vorgelegte	O	O	O	O	O	O	O
Frage	O	O	O	B-PER	O	O	O
zu	O	O	O	O	O	O	O
betrachten	O	O	O	B-LOC	O	O	O
haben	O	O	O	B-PER	O	O	O
.	O	O	O	B-LOC	O	O	O
							
Haec	O	B-PER	O	I-LOC	O	B-PER	O
si	O	O	O	O	O	O	O
contingunt	O	O	O	O	O	O	O
terris	O	O	O	O	O	O	O
;	O	O	O	B-PER	O	O	O
quae	O	O	O	O	O	B-PER	O
gaudia	O	B-PER	O	B-LOC	O	O	O
coelo	O	I-PER	O	O	O	O	O
?	O	O	O	O	O	O	O
							
Gerwin	B-PER	O	O	B-LOC	B-PER	B-PER	B-PER
in	O	O	O	O	O	O	O
seinen	O	O	O	B-PER	O	O	O
Hieroglyphicis	O	O	O	B-LOC	O	O	O
meldet	O	O	O	B-PER	O	O	O
,	O	O	O	B-LOC	O	O	O
daß	O	O	O	B-PER	O	O	O
,	O	O	O	O	O	O	O
wenn	O	O	O	B-LOC	O	O	O
verlobten	O	O	O	O	O	O	O
Personen	O	O	O	O	O	O	O
kurtz	O	O	O	O	O	O	O
vor	O	O	O	O	O	O	O
ihrer	O	O	O	B-PER	O	O	O
Hochzeit	O	O	O	O	O	O	O
von	O	O	O	B-LOC	O	O	O
einem	O	O	O	B-PER	O	O	O
lieblichen	O	O	O	O	O	O	O
musicalischen	O	O	O	B-LOC	O	O	O
Instrument	O	O	O	O	O	O	O
träume	O	O	O	B-PER	O	O	O
so	O	O	O	O	O	O	O
sey	O	B-PER	O	B-LOC	O	O	O
es	O	O	O	O	O	O	O
als	O	O	O	B-PER	O	O	O
eine	O	O	O	O	O	O	O
gute	O	O	O	O	O	O	O
Vordeutung	O	O	O	B-LOC	O	O	O
zukünfftiger	O	O	O	O	O	O	O
Einigkeit	O	O	O	O	O	O	O
und	O	O	O	O	O	O	O
Vertrauligkeit	O	O	O	B-PER	O	O	O
unter	O	O	O	O	O	O	O
den	O	O	O	O	O	O	O
neuen	O	O	O	B-LOC	O	O	O
Ehe	O	O	O	B-PER	O	O	O
Leuten	O	B-LOC	O	O	O	O	O
anzunehmen	O	O	O	B-LOC	O	O	O
.	O	O	O	O	O	O	O
							
Jah	O	O	O	B-LOC	O	O	O
der	O	O	O	O	O	O	O
sonst	O	O	O	O	O	O	O
zwar	O	O	O	O	O	O	O
von	O	O	O	O	O	O	O
dem	O	O	O	B-PER	O	O	O
Namen	O	O	O	B-LOC	O	O	O
Jehova	O	B-LOC	O	O	O	B-PER	B-PER
unterschieden	O	O	O	O	O	O	O
als	O	O	O	O	O	O	O
zu	O	O	O	O	O	O	O
sehen	O	O	O	O	O	O	O
Esa	O	O	O	O	O	B-PER	O
.	O	O	O	O	O	O	O
							
Seynd	O	O	O	B-LOC	O	B-PER	O
noch	O	O	O	O	O	O	O
so	O	O	O	O	O	O	O
vil	O	O	O	O	O	O	O
die	O	O	O	O	O	O	O
meine	O	O	O	O	O	O	O
Lehr	O	O	O	O	O	O	O
Gern	O	O	O	O	O	O	O
hörten	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O
der	O	O	O	O	O	O	O
Predig	O	B-LOC	O	O	O	O	O
Könnt	O	O	O	B-PER	O	O	O
ich	O	O	O	O	O	O	O
noch	O	O	O	B-LOC	O	O	O
manchen	O	O	O	O	O	O	O
Sünder	O	O	O	O	O	O	O
schwer	O	O	O	B-PER	O	O	O
Von	O	O	O	B-LOC	O	O	O
Lastern	O	B-LOC	O	O	O	O	O
machen	O	O	O	O	O	O	O
ledig	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O
							
Das	O	O	O	B-LOC	O	O	O
zeigt	O	O	O	O	O	O	O
hier	O	O	O	O	O	O	O
der	O	O	O	B-PER	O	O	O
Geist	O	O	O	B-LOC	O	O	O
Gottes	O	B-PER	O	O	O	B-PER	O
an	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
und	O	O	O	O	O	O	O
weiset	O	B-PER	O	O	O	O	O
sehr	O	O	O	B-PER	O	O	O
tröstlich	O	O	O	B-LOC	O	O	O
,	O	O	O	O	O	O	O
wie	O	O	O	O	O	O	O
daß	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
nachdem	O	O	O	B-PER	O	O	O
die	O	O	O	B-LOC	O	O	O
heydnischen	O	O	O	O	O	O	O
Christen	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
durch	O	O	O	O	O	O	O
ihr	O	O	O	B-PER	O	O	O
vielköpfiges	O	O	O	B-LOC	O	O	O
Thier	O	B-LOC	O	O	O	O	O
,	O	O	O	O	O	O	O
welches	O	O	O	O	O	O	O
er	O	O	O	B-PER	O	O	O
im	O	O	O	O	O	O	O
vorigen	O	O	O	B-LOC	O	O	O
Capitel	O	O	O	O	O	O	O
beschrieben	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
die	O	O	O	O	O	O	O
heilige	O	O	O	B-PER	O	O	O
Stadt	B-LOC	O	O	O	O	O	O
Gottes	O	B-LOC	O	B-LOC	O	O	O
,	O	O	O	O	O	O	O
die	O	O	O	B-PER	O	O	O
wahre	O	O	O	B-LOC	O	O	O
Kirche	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
verwüstet	O	O	O	B-PER	O	O	O
haben	O	O	O	B-LOC	O	O	O
,	O	O	O	O	O	O	O
und	O	O	O	O	O	O	O
meynen	O	O	O	O	O	O	O
würden	O	O	O	B-PER	O	O	O
,	O	O	O	B-LOC	O	O	O
als	O	O	O	B-PER	O	O	O
ob	O	O	O	O	O	O	O
sie	O	O	O	B-LOC	O	O	O
schon	O	O	O	O	O	O	O
alles	O	O	O	O	O	O	O
unter	O	O	O	O	O	O	O
ihre	O	O	O	B-PER	O	O	O
Bothmässigkeit	O	O	O	B-LOC	O	O	O
gebracht	O	O	O	B-PER	O	O	O
hätten	O	O	O	O	O	O	O
,	O	O	O	B-LOC	O	O	O
doch	O	O	O	B-PER	O	O	O
,	O	O	O	O	O	O	O
der	O	O	O	O	O	O	O
untergedrückte	O	O	O	B-LOC	O	O	O
Haufe	O	O	O	O	O	O	O
der	O	O	O	O	O	O	O
Gläubigen	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
auf	O	O	O	O	O	O	O
einem	O	O	O	B-PER	O	O	O
andern	O	O	O	O	O	O	O
Ort	O	O	O	O	O	O	O
,	O	O	O	B-LOC	O	O	O
des	O	O	O	B-PER	O	O	O
Berges	O	O	O	B-LOC	O	B-LOC	O
Zions	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
als	O	O	O	B-PER	O	O	O
eines	O	O	O	O	O	O	O
grossen	O	O	O	O	O	O	O
und	O	O	O	O	O	O	O
weiten	O	O	O	O	O	O	O
Gebürges	O	O	O	B-LOC	O	O	O
,	O	O	O	O	O	O	O
an	O	O	O	B-PER	O	O	O
einem	O	O	O	O	O	O	O
andern	O	O	O	O	O	O	O
Orte	O	O	O	O	O	O	O
der	O	O	O	O	O	O	O
Welt	O	O	O	B-LOC	O	O	O
,	O	O	O	O	O	O	O
plötzlich	O	O	O	O	O	O	O
wieder	O	O	O	O	O	O	O
hervor	O	O	O	B-PER	O	O	O
kommen	O	O	O	O	O	O	O
würde	O	O	O	O	O	O	O
.	O	O	O	B-LOC	O	O	O
							
Die	O	O	O	I-LOC	O	O	O
alten	O	O	O	O	O	O	O
und	O	O	O	B-PER	O	O	O
ersten	O	O	O	B-LOC	O	O	O
Christen	O	O	O	O	O	O	O
haben	O	O	O	B-PER	O	O	O
um	O	O	O	O	O	O	O
die	O	O	O	O	O	O	O
heilige	O	O	O	O	O	O	O
Adventszeit	O	O	O	O	O	O	O
,	O	O	O	B-LOC	O	O	O
worinnen	O	O	O	B-PER	O	O	O
wir	O	O	O	O	O	O	O
würklich	O	O	O	B-LOC	O	O	O
leben	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
im	O	O	O	B-PER	O	O	O
Brauch	O	O	O	B-LOC	O	O	O
gehabt	O	O	O	B-PER	O	O	O
,	O	O	O	B-LOC	O	O	O
einander	O	O	O	B-PER	O	O	O
mit	O	O	O	B-LOC	O	O	O
einem	O	O	O	B-PER	O	O	O
Hammer	O	O	O	B-LOC	O	O	O
an	O	O	O	B-PER	O	O	O
die	O	O	O	B-LOC	O	O	O
Hausthüren	O	O	O	O	O	O	O
des	O	O	O	O	O	O	O
Nachts	O	O	O	O	O	O	O
zu	O	O	O	O	O	O	O
klopfen	O	O	O	O	O	O	O
und	O	O	O	O	O	O	O
zuzurufen	O	O	O	B-PER	O	O	O
:	O	O	O	B-LOC	O	O	O
							
Phœbeas	O	B-LOC	O	I-LOC	O	B-PER	O
iras	O	O	O	O	O	O	O
placabant	O	O	O	O	O	O	O
carmine	O	B-PER	O	O	O	B-PER	O
Graji	O	I-PER	O	O	B-PER	O	O
Per	O	I-PER	O	O	O	O	O
luces	O	I-PER	O	O	O	O	O
totas	O	O	O	O	O	O	O
pulchrum	O	O	O	O	O	O	O
pœana	O	B-PER	O	O	O	O	O
canentes	O	I-PER	O	O	O	O	O
.	O	O	O	O	O	O	O
							
60	O	O	O	B-LOC	O	O	O
Frau	O	O	O	O	O	O	O
Achim	B-PER	B-PER	O	B-PER	B-PER	B-PER	B-PER
Geißler	I-PER	I-PER	O	B-LOC	O	O	O
Burgerliche	O	O	O	B-PER	O	O	O
Gold	O	O	O	O	O	B-PER	O
Schmidin	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O
							
Gelobet	O	O	O	B-LOC	O	O	O
seÿ	O	O	O	O	O	O	O
der	O	O	O	O	O	O	O
Herr	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
der	O	O	O	O	O	O	O
Einige	O	O	O	O	O	O	O
wahre	O	O	O	O	O	O	O
Gott	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
der	O	O	O	O	O	O	O
Uns	O	O	O	O	O	O	O
vor	O	O	O	O	O	O	O
dreÿen	O	O	O	O	O	O	O
Jahren	O	O	O	O	O	O	O
betrübet	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
itzo	O	O	O	O	O	O	O
aber	O	O	O	B-PER	O	O	O
aus	O	O	O	O	O	O	O
lauterer	O	O	O	B-LOC	O	O	O
Barmhertzigkeit	O	O	O	O	O	O	O
wieder	O	O	O	O	O	O	O
erfreüet	O	O	O	O	O	O	O
hat	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O
							
Nichts	O	O	O	B-LOC	O	O	O
ist	O	O	O	O	O	O	O
köstlicher	O	O	O	O	O	O	O
als	O	O	O	B-PER	O	O	O
Gottes	O	O	O	B-LOC	O	O	O
Lob	O	O	O	O	O	O	O
.	O	O	O	B-PER	O	O	O
							
1	O	O	O	B-LOC	O	O	O
Cor	O	O	O	O	O	O	O
14	O	O	O	O	O	O	O
Und	O	O	O	O	O	O	O
ob	O	O	O	O	O	O	O
gleich	O	O	O	B-PER	O	O	O
in	O	O	O	O	O	O	O
den	O	O	O	O	O	O	O
ersten	O	O	O	B-LOC	O	O	O
300	O	O	O	O	O	O	O
Jahren	O	O	O	O	O	O	O
bey	O	O	O	B-PER	O	O	O
den	O	O	O	O	O	O	O
Heydnischen	O	O	O	B-LOC	O	O	O
Verfolgungen	O	O	O	O	O	O	O
die	O	O	O	B-PER	O	O	O
ersten	O	O	O	O	O	O	O
Christen	O	O	O	B-LOC	O	O	O
der	O	O	O	O	O	O	O
Orgeln	O	O	O	B-PER	O	O	O
und	O	O	O	O	O	O	O
Pfeiffen	O	O	O	B-LOC	O	O	O
vergessen	O	O	O	B-PER	O	O	O
da	O	O	O	B-LOC	O	O	O
sie	O	O	O	O	O	O	O
wie	O	O	O	O	O	O	O
Schlachtschafe	O	B-PER	O	O	O	O	O
umb	O	O	O	B-PER	O	O	O
des	O	O	O	O	O	O	O
Nahmens	O	O	O	B-LOC	O	O	O
Christi	O	B-PER	O	O	O	B-PER	O
willen	O	O	O	B-PER	O	O	O
erwürget	O	O	O	B-LOC	O	O	O
worden	O	O	O	B-PER	O	O	O
sind	O	O	O	B-LOC	O	O	O
sie	O	O	O	O	O	O	O
doch	O	O	O	B-PER	O	O	O
hernach	O	O	O	O	O	O	O
wieder	O	O	O	B-LOC	O	O	O
in	O	O	O	O	O	O	O
Brauch	O	B-LOC	O	O	O	O	O
kommen	O	O	O	B-PER	O	O	O
.	O	O	O	B-LOC	O	O	O
							
Jhr	O	B-PER	O	I-LOC	O	O	O
entführt	O	O	O	O	O	O	O
mir	O	O	O	O	O	O	O
mein	O	O	O	B-PER	O	O	O
allerliebstes	O	O	O	B-LOC	O	O	O
Weib	O	O	O	O	O	O	O
seyd	O	O	O	B-PER	O	O	O
mir	O	O	O	B-LOC	O	O	O
doch	O	O	O	O	O	O	O
sambt	O	O	O	B-PER	O	O	O
euerer	O	O	O	B-LOC	O	O	O
Tyranney	O	B-PER	O	O	O	O	O
so	O	O	O	O	O	O	O
gnädig	O	O	O	O	O	O	O
vnn	O	O	O	B-PER	O	O	O
nembt	O	O	O	B-LOC	O	O	O
mich	O	O	O	B-PER	O	O	O
auch	O	O	O	B-LOC	O	O	O
mit	O	O	O	O	O	O	O
ihr	O	O	O	O	O	O	O
:	O	O	O	O	O	O	O
							
Burkhardt	B-PER	B-PER	O	B-LOC	B-PER	B-PER	B-PER
T	O	I-PER	O	O	O	O	O
3	O	O	O	B-PER	O	O	O
Ann	O	O	O	B-LOC	O	O	O
.	O	O	O	O	O	O	O
							
Das	O	O	O	B-LOC	O	O	O
Neue	O	O	O	O	O	O	O
Lied	O	O	O	O	O	O	O
Des	O	O	O	O	O	O	O
andächtig	O	O	O	B-PER	O	O	O
singenden	O	O	O	B-LOC	O	O	O
Freybergs	B-LOC	O	B-LOC	B-PER	O	B-PER	O
Bey	O	O	O	O	O	O	O
Einweyhung	O	O	O	B-LOC	O	O	O
Einer	O	O	O	O	O	O	O
Neuen	O	O	O	O	O	O	O
Orgel	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
Nachdem	O	O	O	O	O	O	O
vorige	O	O	O	O	O	O	O
Durch	O	O	O	B-PER	O	O	O
eine	O	O	O	B-LOC	O	O	O
wütende	O	O	O	O	O	O	O
Feuers	O	O	O	O	O	O	O
Brunst	O	O	O	B-PER	O	O	O
am	O	O	O	B-LOC	O	O	O
1	O	O	O	O	O	O	O
May	O	O	O	O	O	O	O
1728	O	O	O	B-PER	O	O	O
samt	O	O	O	B-LOC	O	O	O
der	O	O	O	O	O	O	O
ganzen	O	O	O	O	O	O	O
Kirche	B-LOC	O	B-LOC	B-PER	O	O	O
eingeäschert	O	O	O	B-LOC	O	O	O
worden	O	O	O	B-PER	O	O	O
,	O	O	O	B-LOC	O	O	O
in	O	O	O	O	O	O	O
der	O	O	O	O	O	O	O
Kirchen	B-LOC	O	B-LOC	B-PER	B-LOC	O	O
zu	I-LOC	O	I-LOC	O	O	O	O
Sankt	I-LOC	B-LOC	I-LOC	O	O	B-LOC	B-LOC
Petri	I-LOC	I-LOC	I-LOC	O	O	O	O
in	O	O	O	B-LOC	O	O	O
Freyberg	B-LOC	B-LOC	B-LOC	B-PER	B-LOC	B-LOC	B-LOC
Am	O	O	O	B-LOC	O	O	O
31sten	O	O	O	O	O	O	O
Octobris	O	O	O	O	O	O	O
1735	O	O	O	O	O	O	O
Als	O	O	O	O	O	O	O
an	O	O	O	O	O	O	O
dem	O	O	O	O	O	O	O
erfreulichen	O	O	O	B-PER	O	O	O
Gedächtnis	O	O	O	O	O	O	O
Tage	O	O	O	B-LOC	O	O	O
Der	O	O	O	O	O	O	O
Heylsamen	O	O	O	O	O	O	O
Kirchen	O	O	O	O	O	O	O
Reformation	O	O	O	O	O	O	O
Dogan	B-PER	O	O	O	O	B-PER	O
Aus	O	O	O	O	O	O	O
der	O	O	O	O	O	O	O
Offenb	O	B-LOC	O	O	O	O	O
Joh	O	B-PER	O	O	O	O	O
XIV	O	I-PER	O	O	O	O	O
,	O	O	O	O	O	O	O
1	O	O	O	O	O	O	O
=	O	O	O	O	O	O	O
5	O	O	O	O	O	O	O
gezeiget	O	O	O	O	O	O	O
Von	O	O	O	O	O	O	O
Halina	B-PER	B-PER	B-PER	O	B-PER	B-PER	B-PER
Finke	I-PER	I-PER	O	O	O	O	O
Girschner	I-PER	I-PER	O	O	O	O	O
,	O	O	O	O	O	O	O
Der	O	O	O	B-PER	O	O	O
Heiligen	O	O	O	B-LOC	O	O	O
Schrifft	O	O	O	O	O	O	O
Doctore	O	O	O	O	O	B-PER	O
,	O	O	O	O	O	O	O
Pfarrern	O	O	O	O	O	O	O
und	O	O	O	O	O	O	O
Superintendenten	O	O	O	O	O	O	O
daselbst	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O
							
2	O	O	O	B-LOC	O	O	O
41	O	O	O	O	O	O	O
vnd	O	O	O	O	O	O	O
am	O	O	O	O	O	O	O
65	O	O	O	O	O	O	O
v	O	O	O	O	O	O	O
werden	O	O	O	O	O	O	O
gezehlet	O	O	O	O	O	O	O
zwey	O	O	O	B-PER	O	O	O
Hundert	O	O	O	B-LOC	O	O	O
vnd	O	O	O	B-PER	O	O	O
Achtzig	O	B-PER	B-PER	B-LOC	O	O	O
Senger	O	I-PER	I-PER	O	O	B-PER	O
vnd	O	O	O	B-PER	O	O	O
Sengerin	O	O	O	B-LOC	O	O	O
so	O	O	O	O	O	O	O
die	O	O	O	O	O	O	O
Leviten	O	O	O	O	O	O	O
zur	O	O	O	O	O	O	O
Music	O	O	O	O	O	O	O
bey	O	O	O	B-PER	O	O	O
reparation	O	O	O	O	O	O	O
deß	O	O	O	O	O	O	O
Tempels	O	O	O	B-LOC	O	O	O
bestellet	O	O	O	B-PER	O	O	O
haben	O	O	O	B-LOC	O	O	O
ist	O	O	O	O	O	O	O
auch	O	O	O	O	O	O	O
dabey	O	O	O	O	O	O	O
so	O	O	O	O	O	O	O
lang	O	O	O	O	O	O	O
der	O	O	O	O	O	O	O
Jüdisch	O	O	O	O	O	O	O
Gottesdienst	O	O	O	O	O	O	O
in	O	O	O	B-PER	O	O	O
seinem	O	O	O	O	O	O	O
Wesen	O	O	O	B-LOC	O	O	O
erhalten	O	O	O	B-PER	O	O	O
verbliben	O	O	O	B-LOC	O	O	O
weil	O	O	O	O	O	O	O
diß	O	O	O	B-PER	O	O	O
ein	O	O	O	O	O	O	O
Weise	O	O	O	B-LOC	O	O	O
in	O	O	O	O	O	O	O
Jsrael	O	B-LOC	O	O	O	B-PER	O
vnd	O	O	O	B-PER	O	O	O
ein	O	O	O	O	O	O	O
Rechte	O	O	O	B-LOC	O	O	O
deß	O	O	O	B-PER	O	O	O
gottes	O	O	O	B-LOC	O	O	O
